"","baseMean","log2FoldChange","lfcSE","svalue"
"YDL142C",338.573134486615,-0.385212640109038,0.120200289976817,0.21241511216515
"YDL141W",774.840288390584,0.050007319522478,0.0533573929468171,0.528301223668593
"YDL140C",5792.56778579727,0.0123430536683024,0.0605081862692086,0.527008110970761
"YDL139C",495.094652841503,-0.636261594620378,0.0969198402746161,0.00852918716051792
"YDL138W",674.117325395472,0.302347023940752,0.053717348855021,0.434616209487083
"YDL137W",3962.38493345074,0.160534067731392,0.0408116896344082,0.528372855980868
"YDL136W",3377.67152050747,0.504159016312242,0.193808957759069,0.0859998478137668
"YDL135C",1040.60109492838,-0.124688178194471,0.0677547635237105,0.494520712476304
"YDL134C",1861.7948051891,0.664184916479882,0.0660576395567104,0.000488833668160676
"YDL133C-A",7639.05607264613,0.149171808127855,0.28820195712974,0.245808738384151
"YDL133W",774.628006373035,0.363781475805982,0.107701979826276,0.250694153395414
"YDL132W",2983.01570935652,-1.02995351307275,0.0640282447649227,2.59476273483897e-18
"YDL131W",4236.25152271657,2.25438044190735,0.24090789040577,5.31105198684055e-15
"YDL130W-A",2451.19117854347,0.238400472642868,0.087433163307016,0.396295101911846
"YDL130W",8133.83089700464,0.212547411928267,0.210746637410905,0.25998658070366
"YDL129W",538.610806379442,0.330768614522142,0.111898456454979,0.275263171198792
"YDL128W",2837.25708146988,0.950313635170191,0.0784318126523657,1.82710420040114e-10
"YDL127W",679.686390743296,-0.788910142015236,0.0723892154032554,1.90846189202103e-06
"YDL126C",17681.8232841481,-0.0464145280340101,0.108148373419184,0.454859787685363
"YDL125C",1602.42895923604,0.716902143197621,0.0444217908483034,2.89190576728723e-08
"YDL124W",5361.48788374895,0.912909844686209,0.125018992080709,2.76097971981825e-05
"YDL123W",1005.90332618678,-0.0170970576320591,0.119181525378774,0.451296265678168
"YDL122W",3104.96963712801,0.203446896477968,0.0769962861885268,0.442330836008199
"YDL121C",783.875562859717,-0.854456492305853,0.137314173227143,0.000372618304923643
"YDL120W",672.208745088689,0.0958136878481117,0.0633482897474669,0.511226826666069
"YDL119C",365.022751257939,-1.01271076484832,0.0783654596498791,1.31181809551103e-12
"YDL118W",35.3845035535424,-1.37705092736082,0.236850870338155,5.77168572713984e-06
"YDL117W",1452.71546783875,-0.525756388665138,0.0923805022749819,0.0616960179181309
"YDL116W",950.156322125419,-0.288775874032422,0.0624081169085791,0.420159904230873
"YDL115C",1003.9940240501,-0.943987600816915,0.0967196421010281,1.25621841213498e-07
"YDL114W",11.259059681343,0.498154023105677,0.379419181568399,0.0880128728740236
"YDL113C",981.377959884932,-0.626250602496821,0.106436134917152,0.0132118345060157
"YDL112W",1742.40567899869,-0.706779546176098,0.131251631348778,0.00584881767255539
"YDL111C",829.813725287628,-0.27167873666893,0.107055886470072,0.332558103977187
"YDL110C",4338.41691754239,-0.532870994308438,0.121027446061493,0.0621581350860139
"YDL109C",406.864306647935,0.0651859235460308,0.11821690270901,0.434513283969132
"YDL108W",581.082873017237,-0.592920785405988,0.061276520764331,0.00670155730809035
