"","CK45_1","CK45_2","AC45_1","AC45_2","CK120_1","CK120_2","AC120_1","AC120_2","CK200_1","CK200_2","AC200_1","AC200_2"
"YOR214C",26.9908833283138,25.1519292619928,12.4756562697667,9.30147805852688,19.4076082405217,15.8348214354461,17.975341733252,7.38788766608212,11.9202425057211,13.165858310257,8.13290789108083,13.5215665199728
"YOR215C",1558.72351221012,1545.0470832367,1686.48189755847,1577.76321567762,1630.23909220383,1790.55288539275,1566.42263675482,1543.01310968744,1628.48851462774,1594.08161387265,1672.3291851035,1504.64987441698
"YOR216C",1007.33832421742,1057.27931219162,1877.01919331491,1981.21482646623,905.688384557681,959.833791625503,1804.38192255692,1783.64716509697,1294.72172446755,1296.33066439453,1946.81482642747,1806.63152669637
"YOR217W",1375.57108962513,1448.93078212837,1173.84583992805,1237.09658178407,1234.53952418874,1152.28777522554,1069.96081745548,1070.18829905818,1415.75803298718,1396.5937392188,1037.96236959919,1033.64864063792
"YOR218C",3.8558404754734,4.49141593964156,2.26830113995759,2.32536951463172,4.31280183122705,1.21806318734201,1.71193730792877,2.11082504745203,3.66776692483725,3.03827499467469,7.11629440469573,3.00479255999396
"YOR219C",1123.01353848163,1139.0230822931,804.112754114966,817.36738439305,1069.57485414431,941.562843815373,824.297813767701,846.440844028265,978.376827200335,1128.21278135587,852.938715077102,875.145833098242
"YOR220W",1149.04046169107,1171.36127705852,1248.69977754665,1223.14436469628,1230.22672235752,1149.85164885086,1316.47978979722,1157.78753852744,1010.46978779266,1160.62104796573,1254.50104219922,1310.08955615737
"YOR221C",717.186328438052,759.049293799424,1721.64056522781,1916.10448005654,794.633737403584,869.697115762194,1748.74396004923,1614.78116130081,668.450522051588,718.045657074784,1834.98734292511,1839.6842448563
"YOR222W",2120.71226151037,2305.89294341198,643.063373177977,589.481171959141,3745.6683904207,3948.96085336279,546.963969883241,595.252663381473,2710.47975745473,2523.79376224311,549.987896134341,591.192936178813
"snR35",126.278775571754,142.827026880602,232.500866845653,182.54150689859,83.0214352511208,254.57520615448,101.004301167797,101.319602277698,92.6111148521405,77.9823915299836,62.0134226694913,46.5742846799065
"YOR223W",1166.3917438307,1201.00462226015,1098.99190230945,1046.41628158427,1247.47792968242,1481.16483580788,976.660234173361,1052.24628615484,944.449983145591,942.878006680711,1085.74320345929,1056.18458483788
"YOR224C",1203.0222283477,1145.3110646086,2793.41285385777,2597.43774784363,1611.90968442111,1598.09890179272,2313.68327166573,2463.33283037652,2540.845537181,1874.61567171428,2443.93882126979,2300.16870467538
"YOR225W",1.9279202377367,2.69484956378494,5.67075284989397,4.65073902926344,5.39100228903382,2.43612637468402,0.855968653964383,2.11082504745203,3.66776692483725,6.07654998934937,8.13290789108083,4.50718883999095
"YOR226C",263.161112451059,256.908991747497,367.46478467313,383.685969914234,360.118952907459,420.231799632993,344.099398893682,381.003921065092,399.78659480726,346.363349392914,361.914401153097,320.761605779356
"YOR227W",2751.14217925027,2510.70151025963,1390.468598794,1321.97256906813,1963.40303366612,2009.80425911432,1409.78037307934,1383.64581860481,1924.66069380835,1797.64603851586,1325.66398624618,1306.33356545738
"YOR228C",311.359118394477,284.755770573275,494.489648510755,444.145577294658,276.019317198531,336.185439706395,512.725223724666,520.318374196926,283.334994943677,288.636124494095,542.871601729645,540.862660798914
"YOR229W",555.241028468169,532.68193044149,706.575805096789,688.309376330989,687.891892080715,864.824863012826,730.141261831619,768.34031727254,735.387268429868,688.675665459596,762.460114788828,723.403808818547
"YOR230W",5509.03207933261,5535.22100401426,7113.392374907,6980.75928292442,5858.94128772195,6247.44608787716,6874.28425998796,6768.36051465495,6485.52886484346,6146.43031422689,6991.25094587036,7193.47338862555
"YOR231W",1131.68917955144,1129.14196722589,1246.4314764067,1146.40717071344,1066.34025277089,1255.82314614961,1277.10523171486,1250.66384061533,1079.24041763336,1038.07728984718,1461.89019342178,1452.81720275708
"YOR232W",981.311401007979,960.264727895366,2245.61812855801,2269.56064628056,1069.57485414431,1208.31868184327,2427.52710264299,2246.97326301269,1696.34220273723,1598.13264719889,2268.06468812517,2226.55128695553
"YOR233W",1300.3822003534,1301.61233930813,939.076671942442,944.100022940478,1224.83572006848,1229.02575602809,966.388610325789,922.430545736539,1346.98740314648,1408.7468391975,1039.99559657196,943.504863838105
"YOR234C",1443.04829794592,1598.04579132447,940.210822512421,1019.67453216601,1744.52834073134,1724.77747327628,729.285293177654,751.453716892924,2759.99461094003,2488.34722063857,729.928483224505,648.283994818698
"YOR235W",52.0538464188908,54.7952744636271,9.07320455983036,2.32536951463172,39.8934169388502,51.1586538683644,1.71193730792877,3.16623757117805,14.671067699349,17.2168916364899,5.08306743192552,2.25359441999547
"snR17a",207.251425556695,223.67251379415,327.769514723872,338.341264378915,219.95289339258,694.296016784945,181.465354640449,242.744880456984,205.394947790886,185.334774675156,324.299702156848,147.234835439704
"YOR236W",628.501997502164,665.62784225488,609.038856078613,594.131910988404,708.377700779043,771.033997587492,588.050465273531,591.031013286569,528.158437176563,533.723640731187,612.001318803833,570.159388258855
"YOR237W",216.891026745379,259.603841311282,31.7562159594063,26.7417494182648,212.405490187932,237.522321531692,31.6708401966822,34.8286132829585,95.3619400457684,122.543758118546,34.5648585370935,42.0670958399155
"YOR238W",593.799433222903,600.053169536113,540.989821879885,534.834988365296,530.474625240927,479.916895812752,517.005066994487,447.494910059831,457.553923873446,475.996415832368,516.439651083633,486.776394719022
"YOR239W",4163.3437533924,4244.38806296128,3304.91476091821,3298.5366565051,4670.7643832189,4605.49691134014,2336.79442532277,2673.359922598,5063.35223973782,5200.51403255151,2707.24171424353,2510.50418387496
"YOR241W",1031.43732718913,1016.85656873485,984.442694741594,1062.6938681867,964.989409737053,1012.21050868121,1086.2242218808,1094.46278710388,1236.95439540136,1256.83308946376,992.214762711861,1050.17499971789
"YOR242C",41.450285111339,33.2364779533476,51.0367756490458,46.5073902926344,40.971617396657,26.7973901215242,41.9424640442548,43.2719134727667,27.5082519362793,40.5103332623292,47.7808338600999,43.5694921199125
"YOR243C",1047.8246492099,1015.06000235899,1427.8955676033,1353.36505751566,1529.9664496278,1310.63598958,1306.20816594965,1351.98344289303,2242.83947453798,2046.78458807918,1190.45439255696,1237.22333657752
"YOR244W",422.214532064337,442.853611648658,1005.99155557119,1025.48795595259,522.92722203628,514.022665058328,1123.03087400127,1013.19602277698,579.507174124285,553.978807362351,1151.82308007432,1090.73969927781
"YOR245C",876.239748051329,868.639842726678,584.087543539079,545.299151181138,832.370753426821,727.18372284318,601.745963736961,579.421475525583,704.211249568751,707.918073759202,580.486300725894,594.197728738807
"YOR246C",2534.25115250489,2569.08991747497,1550.38382916101,1533.58119489962,2821.6505980803,2729.67960283344,1545.02342040571,1663.3301373922,2235.5039406883,2503.53859561194,1581.85058481522,1502.39627999698
"YOR247W",4787.98991041909,4866.00002900767,3302.64645977825,3293.88591747583,3426.52105490989,3322.876375069,3421.30670989564,3457.53142772643,6615.73459067518,4484.49389213984,3653.70887006806,3674.86130087262
"YOR248W",35.6665243981289,31.4399115774909,29.4879148194487,39.5312817487392,32.3460137342029,24.3612637468402,28.2469655808246,25.3299005694244,53.1826204101401,31.3955082783051,16.2658157821617,27.0431330399457
"YOR249C",312.323078513345,313.500832586981,352.720827263405,396.475502244708,325.616538257643,267.973901215242,410.864953902904,416.887946871777,260.411451663444,266.355441199814,413.761688958737,445.460497019105
"YOR250C",535.961826090802,557.833859703482,669.148836287489,719.701864778517,640.451071937217,668.716689850763,641.976490473287,654.35576471013,507.985719089959,656.267398849733,654.699085232007,750.446941858493
"YOR251C",1036.25712778348,1091.4140733329,1101.26020344941,1070.83266148791,1192.48970633428,1196.13804996985,999.7713878304,962.536221638127,1132.4230380435,1122.13623136652,970.865879497774,991.581544798008
"YOR252W",630.4299177399,658.441576751453,1153.43112966843,1226.63241896823,963.911209279246,959.833791625503,1094.78390842045,1056.46793624974,1176.43624114155,1106.94485639314,1185.37132512503,1066.70135879786
"YOR253W",743.213251647497,845.284479840542,1235.08997070691,1151.0579097427,1192.48970633428,1190.04773403314,1299.36041671793,1294.99116661182,1003.13425394299,1110.99588971938,1144.70678566963,1206.42421283758
"YOR254C",2112.03662044055,1967.240181563,3337.80512744759,3467.12594631589,2143.46251011985,1794.20707495478,3350.2613116166,3244.33809793378,2971.80815084938,2582.53374547348,3152.51842128021,3173.81214149363
"YOR255W",25.0629630905771,17.0673805706379,10.2073551298092,13.9522170877903,20.4858086983285,23.1432005594982,16.2634044253233,16.8866003796163,19.2557763553955,32.4082666098633,17.2824292685468,22.5359441999547
"YOR256C",953.356557560797,971.942409338434,1077.44304147986,1182.45039819023,1045.85444407256,931.818338316637,1049.41756976033,1150.39965086136,961.871876038568,1002.63074824265,1039.99559657196,1174.12269281764
"YOR257W",430.890173134152,410.515416883239,947.015725932294,1040.60285779769,479.79920372401,505.496222746934,1014.32285494779,926.652195831443,457.553923873446,506.379165779115,996.281216657402,961.533619198069
"YOR258W",106.035613075518,127.55621268582,125.890713267646,116.268475731586,125.071253105585,137.641140169647,150.650483097731,125.594090323396,121.953250250838,139.760649755036,148.425569012225,130.708476359737
"YOR259C",6060.41726732531,5880.16174817874,12820.4380430403,12502.3491954174,5110.67017000406,5459.35920566688,11182.3744953907,11645.4217867929,4588.3764229714,4289.0315341491,12636.5056357668,11874.9401970961
"YOR260W",1962.62280201596,1976.22301344229,2344.28922814617,2576.50942221195,2200.6071343836,2110.9035036637,2496.86056361411,2384.17689109707,2033.77675982225,1923.22807162908,2417.50687062378,2298.66630839538
"YOR261C",3205.16739523726,3216.75209597129,5071.92134894517,5469.2690984138,2190.90333026334,1877.03537169404,5109.2768955134,5048.03810098154,2007.18544961718,1927.27910495531,4682.52171828979,4891.80228767017
"YOR262W",1434.3726568761,1443.5410830008,1273.65109008619,1245.23537508529,1624.84808991479,1641.94917653703,1211.1956453596,1135.62387552919,996.715661824522,1064.4090064677,1198.58730044804,1162.10352257767
"YOR263C",39.5223648736023,40.4227434567741,10.2073551298092,12.7895323304745,45.284419227884,43.8502747443123,10.2716238475726,7.38788766608212,15.5880094305583,33.4210249414216,15.2492022957766,13.5215665199728
"YOR264W",395.223648736023,418.599965574594,495.623799080733,524.370825549453,633.981869190377,640.701236541897,634.272772587608,584.698538144213,686.789356675774,780.836673631395,608.951478344677,594.948926878805
"YOR265W",668.988322494634,696.169470644442,1155.69943080839,1090.59830236228,508.910616084792,594.4148354229,835.425406269238,784.17150512843,453.886156948609,475.996415832368,957.649904174768,772.982886058447
"YOR266W",208.215385675563,241.638177552716,252.915577105271,248.814538065594,215.640091561353,200.980425911431,300.444997541498,255.409830741696,242.989558770468,256.227857884232,269.402573892052,273.436122959451
"YOR267C",3260.11312201276,3128.72034355431,4817.87162126992,4662.3658768366,3375.84563339298,3364.29052343863,5555.23656422885,5475.48017309057,3211.12994269501,3394.76592738318,5855.6936815782,6035.12585674788
"YOR268C",15.4233619018936,15.2708141947813,32.8903665293851,30.2298036902124,22.642209613942,14.6167582481041,26.5350282728959,39.0502633778626,14.671067699349,13.165858310257,29.481791105168,27.7943311799442
"YOR269W",408.71909040018,412.311983259096,198.476349746289,246.489168550962,522.92722203628,484.78914856212,276.477875230496,260.686893360326,481.394408884889,450.677457543412,241.954009759655,257.660962019482
"YOR270C",5658.44589775721,5458.86693304036,4494.63870882596,4663.52856159391,5424.42650322583,4928.28365598577,4618.80685679181,4460.17332526615,5282.50131349684,5301.78986570733,4234.19517079396,4537.98796373088
"YOR271C",2356.88249063311,2416.38177552716,3326.46362174781,3069.48775931387,3357.51622561026,3650.535372464,3197.04292255697,3353.04558787756,4106.0650723553,3585.16449371613,3246.04686202764,3070.89799631383
